timestamp,username,message
2025-11-02 15:02:05,@Vladzzyd,4-3 AE
2025-11-02 15:02:05,@GERRY563,Langsung aja kasih piala mpl nya ke Onic dan piala M7 ke Tlph:face-blue-smiling::face-blue-smiling:
2025-11-02 15:02:06,@prioritasku1673,3 Jam lagi baru mulai
2025-11-02 15:02:06,@SyamsulKayyis,NT ONIC
2025-11-02 15:02:06,@hatimyasin0812,rrq kapan 
2025-11-02 15:02:08,@densuryo79,AE JUARA
2025-11-02 15:02:10,@TarakaArdani,woi
2025-11-02 15:02:11,@yoshuahs17,AE 4-3 Onic
2025-11-02 15:02:11,@AndoryouAndoryou,aee 50juta
2025-11-02 15:02:12,@ongki-real,onic lose boss
2025-11-02 15:02:12,@Azka_boring467,fans onic berjejer blng anic time
2025-11-02 15:02:13,@ayayna123,ngapain kesian
2025-11-02 15:02:14,@GilbertDaniel-w3q,"CATAT GAISS , AE JUARA"
2025-11-02 15:02:14,@dtab5667,lama kali cok
2025-11-02 15:02:14,@nairaNAna,onic
2025-11-02 15:02:15,@sandyoyye5855,p
2025-11-02 15:02:16,@dangaming-b1u,jam berapa sih mulainya?
2025-11-02 15:02:18,@ZikzxcGFX,rrq main nya jam brp?
2025-11-02 15:02:18,@LewangSkylar-o7y,ONIC SKYLAR
2025-11-02 15:02:19,@nairaNAna,onic
2025-11-02 15:02:20,@sa1nthowl,@GML556
